id,name,description,cuisine_type
29e0f0bd-4599-4c3d-b574-7c7455e01838,Пицца Маргарита,Пицца Маргарита - традиционное блюдо итальянская кухни.,итальянская
cdbc59d5-c1ff-4fbd-aac5-7cc1fedeb1bb,Паста Карбонара,Паста Карбонара - традиционное блюдо итальянская кухни.,итальянская
014fabd0-3b80-4d04-bb29-a8e62e5f63c2,Ризотто,Ризотто — традиционное блюдо итальянская кухни.,итальянская
29fabd3f-44c6-4207-999b-a8cc319829fa,Тирамису,Тирамису — традиционное блюдо итальянская кухни.,итальянская
13e6abcd-ac8e-4f5f-8faa-0148ef4afe06,Лазанья,Лазанья — традиционное блюдо итальянская кухни.,итальянская
fc4379a5-7f84-450f-992e-49c4a9a35339,Панна-котта,Панна-котта — традиционное блюдо итальянская кухни.,итальянская
1d05bab9-47e4-4b90-a1bb-25704a5e70e9,Гаспачо,Гаспачо — традиционное блюдо итальянская кухни.,итальянская
a7f3e7e8-4b89-43de-a198-bc098d9ca3d6,Паста Болоньезе,Паста Болоньезе — традиционное блюдо итальянская кухни.,итальянская
8d5e2705-20c0-4d44-a4e9-0209396c7251,Брускетта,Брускетта — традиционное блюдо итальянская кухни.,итальянская
f975e940-d042-4704-b81b-10956a6da59c,Минестроне,Минестроне — традиционное блюдо итальянская кухни.,итальянская
4f1ebbf5-c941-42ac-b118-795d8f60c622,Пицца Пепперони,Пицца Пепперони — традиционное блюдо итальянская кухни.,итальянская
ba60ff8b-c8d4-4697-a8d6-6d588e5c881e,Паста Арабьята,Паста Арабьята — традиционное блюдо итальянская кухни.,итальянская
3098e21d-aaf7-4e02-b8db-b27791e438d4,Оссобуко,Оссобуко — традиционное блюдо итальянская кухни.,итальянская
5073616f-5fc2-43c7-b0fd-68ddc51850cc,Капрезе,Капрезе — традиционное блюдо итальянская кухни.,итальянская
0eb9ed9c-42d5-469e-98f9-4de3af8a56f5,Равиоли с рикоттой,Равиоли с рикоттой — традиционное блюдо итальянская кухни.,итальянская
ff7d53a6-814f-44a1-9b91-eb6eb6f81bb3,Тальятелле с трюфелями,Тальятелле с трюфелями — традиционное блюдо итальянская кухни.,итальянская
d05af2ae-9214-474d-bdbc-3c4d57e3c45a,Каннеллони,Каннеллони — традиционное блюдо итальянская кухни.,итальянская
c1372eb3-f21f-4b3f-b2a9-fa13b5310bf4,Фокачча,Фокачча — традиционное блюдо итальянская кухни.,итальянская
4ca2a893-1e15-47fa-83c8-9a4ebdc136d5,Панцеротти,Панцеротти — традиционное блюдо итальянская кухни.,итальянская
b56701f5-cb8f-4e94-8c90-2172554f10bc,Джелато,Джелато — традиционное блюдо итальянская кухни.,итальянская
a7a5b152-2476-4301-ba45-bcef7071078e,Аранчини,Аранчини — традиционное блюдо итальянская кухни.,итальянская
fde67a0d-4489-4067-bffd-02d49d75b201,Ньокки,Ньокки — традиционное блюдо итальянская кухни.,итальянская
a21caa70-67d8-4782-bf5f-c3fda0712e9c,Полинта,Полинта — традиционное блюдо итальянская кухни.,итальянская
4603d13d-9983-4623-94fc-acd4925863b9,Чиабатта,Чиабатта — традиционное блюдо итальянская кухни.,итальянская
b7d4838e-34dd-40d9-a3a3-099edf0198df,Панфорте,Панфорте — традиционное блюдо итальянская кухни.,итальянская
2493163f-c614-40f0-963e-0cfeb8c787cd,Тортеллини,Тортеллини — традиционное блюдо итальянская кухни.,итальянская
d81ca4c7-d9de-42ce-9c0b-9e6fca81a809,Фриттата,Фриттата — традиционное блюдо итальянская кухни.,итальянская
84d632b9-ac75-4c75-b6d5-3f36eb92da5e,Пармиджана,Пармиджана — традиционное блюдо итальянская кухни.,итальянская
2449f161-290f-46c6-8c9d-9f3ea4bee8b8,Сальтимбокка,Сальтимбокка — традиционное блюдо итальянская кухни.,итальянская
fd44d641-e90d-4471-94e3-ade6e7914a33,Пицца Четыре сыра,Пицца Четыре сыра — традиционное блюдо итальянская кухни.,итальянская
cc9ba3d4-9a9a-4054-88b5-0f14d029d9bf,Кальцоне,Кальцоне — традиционное блюдо итальянская кухни.,итальянская
e0c0b375-fa03-438a-b45c-4f67f0070b64,Панна-котта с ягодами,Панна-котта с ягодами — традиционное блюдо итальянская кухни.,итальянская
dbd59d0b-eb66-4486-8f96-e487e387bec6,Фарфалле с лососем,Фарфалле с лососем — традиционное блюдо итальянская кухни.,итальянская
f8f423f6-b414-4d42-9332-f165e8d3615d,Пицца с морепродуктами,Пицца с морепродуктами — традиционное блюдо итальянская кухни.,итальянская
f69cf594-2c55-44b6-9533-893bc6db00c8,Лимончелло,Лимончелло — традиционное блюдо итальянская кухни.,итальянская
b03baa19-ab8b-4819-a738-df83dfbcd94a,Амаретти,Амаретти — традиционное блюдо итальянская кухни.,итальянская
788b5eee-6c31-4b5a-8015-42edac524e40,Панеттоне,Панеттоне — традиционное блюдо итальянская кухни.,итальянская
4c519e24-79c9-48ca-aa2d-b6ecec62cbb7,Кростата,Кростата — традиционное блюдо итальянская кухни.,итальянская
a481b373-b258-4411-a9ad-5d299dde99d3,Фокачча с розмарином,Фокачча с розмарином — традиционное блюдо итальянская кухни.,итальянская
39897dc6-6424-4dff-b3ec-7a9b6aa3925e,Пицца с грушей и горгонзолой,Пицца с грушей и горгонзолой — традиционное блюдо итальянская кухни.,итальянская
81052900-2e10-4dfd-8117-9b0f826f00f5,Пицца,Пицца — традиционное блюдо итальянская кухни.,итальянская
edd09828-5046-4771-802b-0711684d8cfe,Паста,Паста — традиционное блюдо итальянская кухни.,итальянская
8de3bda4-2982-43eb-9d7b-44ac5e8b87ea,Суши с лососем,Суши с лососем — традиционное блюдо японская кухни.,японская
51271987-9bb7-463c-94e3-d8d4fd59ad14,Рамен,Рамен — традиционное блюдо японская кухни.,японская
b41363e3-4f19-4cb6-9fb1-6dc5c472ab07,Удон,Удон — традиционное блюдо японская кухни.,японская
67ce67ca-a684-4aac-8f09-d442b865d7ed,Мисо-суп,Мисо-суп — традиционное блюдо японская кухни.,японская
d88a94d6-7923-48cf-8340-1032d7722c62,Якитори,Якитори — традиционное блюдо японская кухни.,японская
11699303-27cf-49f4-b3f1-3f57803a6091,Темпура,Темпура — традиционное блюдо японская кухни.,японская
